File Name, test_jesse thuis 
Device Address, FD:F6:CE:B9:1D:66
Sensor ID, C9-96-74-54-73
Modify Time, 2020-04-13 13:38:54
Is Saturate, not
Integration Time(ms), 38.518
Wavelength, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760
Spectrum, 0.0015455168904736638, 0.0016831271350383759, 0.0018841063138097525, 0.002078457735478878, 0.002253723330795765, 0.0024171348195523024, 0.002559137297794223, 0.002646959852427244, 0.0026957672089338303, 0.0027675493620336056, 0.002902718260884285, 0.003066372824832797, 0.0032321312464773655, 0.003357511945068836, 0.0034253799822181463, 0.0034301108680665493, 0.0033550350926816463, 0.003225042950361967, 0.003058712463825941, 0.0028963887598365545, 0.002777781570330262, 0.0027282079681754112, 0.0027548784855753183, 0.0028482796624302864, 0.002991003915667534, 0.0031285809818655252, 0.0031959356274455786, 0.0031843064352869987, 0.003122198162600398, 0.0030672976281493902, 0.0030398303642868996, 0.003044932149350643, 0.0030684086959809065, 0.003091136459261179, 0.0030870346818119287, 0.0030444234143942595, 0.0029788168612867594, 0.002901175059378147, 0.002799524459987879, 0.002707956125959754, 0.0026268826331943274, 0.0025688454043120146, 0.0025420421734452248, 0.0025708177126944065, 0.0026413945015519857, 0.0026942009571939707, 0.002713586203753948, 0.002682974562048912, 0.0026357315946370363, 0.0025997324846684933, 0.002576590282842517, 0.002564702183008194, 0.002543753944337368, 0.0025045371148735285, 0.002449610736221075, 0.0023919588420540094, 0.0023458374198526144, 0.0023172227665781975, 0.002279464388266206, 0.0022314046509563923, 0.00218182522803545, 0.002172227017581463, 0.0021879449486732483, 0.0022292807698249817, 0.00225838809274137, 0.00225472473539412, 0.0022067041136324406, 0.002175263362005353, 0.0021664146333932877, 0.0022109122946858406, 0.002263203263282776, 0.0022475835867226124, 0.002200938994064927, 0.002150296000763774, 0.002105423016473651
PPFD Spectrum, 0.0, 0.0, 0.006300451699644327, 0.007037242408841848, 0.007724862080067396, 0.008386007510125637, 0.008985643275082111, 0.009404648095369339, 0.009690743871033192, 0.010064469650387764, 0.010677359066903591, 0.011407520622015, 0.012159277684986591, 0.01277130376547575, 0.013172641396522522, 0.013334212824702263, 0.013182603754103184, 0.012806645594537258, 0.012274001725018024, 0.0117436982691288, 0.011378904804587364, 0.011289870366454124, 0.011515391990542412, 0.012024867348372936, 0.012752444483339787, 0.013469792902469635, 0.0138933714479208, 0.013975921086966991, 0.01383383572101593, 0.013718795031309128, 0.013723010197281837, 0.013873320072889328, 0.014108543284237385, 0.01434225495904684, 0.014452261850237846, 0.014380029402673244, 0.014194658026099205, 0.013945948332548141, 0.013574333861470222, 0.013243529945611954, 0.012956836260855198, 0.01277795061469078, 0.012750883586704731, 0.01300268154591322, 0.013470055535435677, 0.013851964846253395, 0.014065059833228588, 0.014018542133271694, 0.013881871476769447, 0.013800939545035362, 0.013785788789391518, 0.013829386793076992, 0.013822758570313454, 0.01371434424072504, 0.013515972532331944, 0.013297855854034424, 0.013139504939317703, 0.013076088391244411, 0.012958299368619919, 0.01277836225926876, 0.012585640884935856, 0.012621073052287102, 0.012803853489458561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 213
